name,description,website,source,tags,launch_date,reviews,
AI 3D Generation V1,Generate 3D objects from text prompts and images.,spline.design,https://spline.design,"AI, 3D, generation",0,,2025-08-11T03:31:05.941523
AI 3D Model Generator,"Create quick, creative 3D designs from text.",sloyd.ai,https://www.sloyd.ai,"AI, 3D, model generator",0,,2025-08-11T03:31:05.942241
Habi,"Habi, a Colombian real estate company, utilizes AI tools for construction projects.",cloud.google.com,https://cloud.google.com › transform › 101-real-world-g...,"AI, construction, real estate",0,,2025-08-11T04:27:37.094181
UpCodes,An AI-powered compliance platform that accelerates design to construction for interior designers.,up.codes,https://up.codes,"AI, compliance, construction, platform",0,,2025-08-11T04:28:53.543718
Parspec,Empower your organization with AI-powered solutions from Parspec to increase revenue and improve profitability.,parspec.io,https://www.parspec.io,"AI, product selection, quoting",0,,2025-08-11T04:28:53.543992
Joist Ai,Revolutionize how you manage your construction projects with Joist Ai.,tiktok.com,https://www.tiktok.com › discover,"AI, construction",0,,2025-08-11T04:29:08.254660
Trimble,"Trimble connected solutions optimize design, construction, and infrastructure maintenance.",trimble.com,https://www.trimble.com,"AI, construction",0,,2025-08-11T04:29:08.254933
Google AI Studio,"Google AI Studio is the fast path for developers, students, and researchers who want to try Gemini models.",cloud.google.com,https://cloud.google.com › use-cases › free-ai-tools,"AI, tools, Gemini, developers, students, researchers",0,2025,2025-08-11T04:45:45.746939
Dusty Robotics,Dusty Robotics teamed up with Procore to discuss how AI is revolutionizing productivity and efficiency.,usa.skanska.com,https://www.usa.skanska.com › constructive-thinking › h...,"AI, construction, productivity, efficiency, robotics",0,,2025-08-11T04:45:45.747346
Procore Helix,Procore Helix is the intelligence layer that delivers construction AI where it counts—embedded in analytics and insights.,procore.com,https://www.procore.com › helix-intelligence,"Procore, construction, AI, analytics, insights",0,,2025-08-11T04:45:54.427521
Foresight,"Foresight is highlighted as one of the best AI tools for construction, showcasing how cutting-edge solutions are revolutionizing the industry.",foresight.works,https://www.foresight.works › blog › foresight-featured-i...,"Foresight, AI, construction, tools, innovation",0,,2025-08-11T04:45:54.427727
HCSS Copilot,An AI tool that uses your company's data to increase productivity and streamline routine operations.,hcss.com,https://www.hcss.com › products › ai-for-construction,"AI, construction",0,,2025-08-11T04:46:13.374310
Google AI,Accelerate development with integrated AI coding assistance and leverage frameworks and tools.,ai.google,https://ai.google › build,"AI, development",0,,2025-08-11T04:46:13.374480
Pickaxe,"A simple, no-code platform to build, launch, and sell AI agents.",pickaxe.co,https://pickaxe.co,"AI, no-code",0,,2025-08-11T04:46:13.374595
AI Website Builder,Create a website in minutes with this AI-powered tool.,wix.com,https://www.wix.com › ai-website-builder,"AI, website, builder",0,,2025-08-11T04:46:13.374697
Palantir Artificial Intelligence Platform,A platform designed to give your organization advanced AI capabilities.,palantir.com,https://www.palantir.com › platforms › aip,"AI, platform",0,,2025-08-11T04:46:13.374842
ChatPRD,"ChatPRD is the #1 AI tool for product managers & their teams, helping to write great product docs quickly.",chatprd.ai,https://chatprd.ai,"AI, product management, documentation",0,,2025-08-11T04:46:28.952961
Leonardo's AI Architecture Generator,Use Leonardo's powerful AI architecture generator tools to enhance your workflow with mockups and dynamic videos.,leonardo.ai,https://leonardo.ai,"AI, architecture, design",0,,2025-08-11T04:46:28.953146
Asana,AI-powered productivity recommendations.,asana.com,Social Media,"AI, project management, productivity",0,,
Wrike,Project management tool.,wrike.com,Social Media,"AI, project management",0,,
Autodesk Construction Cloud,Tool for keeping everyone on the same page.,autodesk.com,Blog,"AI, construction, project management",0,,
